control,ano,kilogram,categoria,subcategoria,tipo_estilo,origem,classificacao,total
tintas_brs_nubia,1971,0,Uvas Americanas e Híbridas,brs,,brs,,0
tintas_brs_rubea,1971,0,Uvas Americanas e Híbridas,brs,,brs,,0
tintas_brsvioleta,1971,0,Uvas Americanas e Híbridas,brsvioleta,,brsvioleta,,0
tintas_brs_vitoria,1971,0,Uvas Americanas e Híbridas,brs,,brs,,0
tintas_champagnon_champanheta,1971,0,Uvas Americanas e Híbridas,champagnon,,champagnon,,0
tintas_colecoes,1971,0,Uvas Americanas e Híbridas,colecoes,,,,0
tintas_concord,1971,3726469,Uvas Americanas e Híbridas,concord,,concord,,0
tintas_concordclone30,1971,0,Uvas Americanas e Híbridas,concordclone30,,concordclone30,,0
tintas_couderc,1971,2835642,Uvas Americanas e Híbridas,couderc,,,,0
tintas_cynthiana_1,1971,419550,Uvas Americanas e Híbridas,cynthiana,,,,0
tintas_herbemont,1971,43864620,Uvas Americanas e Híbridas,herbemont,,herbemont,,0
tintas_iac138022,1971,0,Uvas Americanas e Híbridas,iac138022,,iac138022,,0
tintas_isabel,1971,126754464,Uvas Americanas e Híbridas,isabel,,isabel,,0
tintas_isabelprecoce,1971,0,Uvas Americanas e Híbridas,isabelprecoce,,isabelprecoce,,0
tintas_jacquez,1971,203081,Uvas Americanas e Híbridas,jacquez,,,,0
tintas_kyoko,1971,0,Uvas Americanas e Híbridas,kyoko,,,,0
tintas_laot,1971,106917,Uvas Americanas e Híbridas,laot,,,,0
tintas_mistura_de_uvas_americanas_tinto,1971,0,Uvas Americanas e Híbridas,mistura,mistura_americanas_tinto,,,0
tintas_oberlin,1971,34722,Uvas Americanas e Híbridas,oberlin,,,,0
tintas_othello,1971,106190,Uvas Americanas e Híbridas,othello,,,,0
tintas_paco,1971,0,Uvas Americanas e Híbridas,paco,,,,0
tintas_patricia,1971,0,Uvas Americanas e Híbridas,patricia,,,,0
tintas_seibel,1971,8309720,Uvas Americanas e Híbridas,seibel,,,,0
tintas_seibel2_seibeleto,1971,0,Uvas Americanas e Híbridas,seibel2,,,,0
tintas_seyvewillard_tinta,1971,0,Uvas Americanas e Híbridas,seyvewillard,,,,0
tintas_vênus,1971,0,Uvas Americanas e Híbridas,vênus,,,,0
brancas_rosadas,1971,557294,Uvas Americanas e Híbridas,rosadas,,,,1
brancas_rosadas_baco,1971,5873,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_bokay,1971,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_brs_bibiana,1971,0,Uvas Americanas e Híbridas,rosadas,,brs,,0
brancas_rosadas_brsem_classificacaolara,1971,0,Uvas Americanas e Híbridas,rosadas,,brsem,,0
brancas_rosadas_brslorena,1971,0,Uvas Americanas e Híbridas,rosadas,,brslorena,,0
brancas_rosadas_couderc13,1971,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_delaware,1971,22883,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_donazilla,1971,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_dutchess,1971,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_goethe,1971,267549,Uvas Americanas e Híbridas,rosadas,,goethe,,0
brancas_rosadas_iac,1971,0,Uvas Americanas e Híbridas,rosadas,,iac,,0
brancas_rosadas_juliana,1971,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_martha,1971,21972,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_mistura_de_uvas_americanas,1971,0,Uvas Americanas e Híbridas,rosadas,mistura_americanas,,,0
brancas_rosadas_mosem_classificacaoatoembrapa,1971,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_niagara,1971,239017,Uvas Americanas e Híbridas,rosadas,,niagara,,0
brancas_rosadas_niagarabranca,1971,0,Uvas Americanas e Híbridas,rosadas,,niagarabranca,,0
brancas_rosadas_niagararosada,1971,0,Uvas Americanas e Híbridas,rosadas,,niagararosada,,0
brancas_rosadas_poloske,1971,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_selecoes,1971,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_seyvevillard,1971,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_seyvevillard5276,1971,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_seyvevillard12375,1971,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_tardiadecaxias,1971,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_outras,1971,0,Uvas Americanas e Híbridas,rosadas,,,,0
tintas,1972,187251954,Uvas Americanas e Híbridas,,,,,1
tintas_bacarina,1972,67464,Uvas Americanas e Híbridas,bacarina,,,,0
tintas_bailey,1972,0,Uvas Americanas e Híbridas,bailey,,,,0
tintas_bordo,1972,6530686,Uvas Americanas e Híbridas,bordo,,,,0
tintas_bourdin_s,1972,0,Uvas Americanas e Híbridas,bourdin,,,,0
tintas_brsem_classificacaoarmen,1972,0,Uvas Americanas e Híbridas,brsem,,brsem,,0
tintas_brsem_classificacaoora,1972,0,Uvas Americanas e Híbridas,brsem,,brsem,,0
tintas_brs_magna,1972,0,Uvas Americanas e Híbridas,brs,,brs,,0
tintas_brs_margot,1972,0,Uvas Americanas e Híbridas,brs,,brs,,0
tintas_brsmorena,1972,0,Uvas Americanas e Híbridas,brsmorena,,brsmorena,,0
tintas_brs_nubia,1972,0,Uvas Americanas e Híbridas,brs,,brs,,0
tintas_brs_rubea,1972,0,Uvas Americanas e Híbridas,brs,,brs,,0
tintas_brsvioleta,1972,0,Uvas Americanas e Híbridas,brsvioleta,,brsvioleta,,0
tintas_brs_vitoria,1972,0,Uvas Americanas e Híbridas,brs,,brs,,0
tintas_champagnon_champanheta,1972,0,Uvas Americanas e Híbridas,champagnon,,champagnon,,0
tintas_colecoes,1972,0,Uvas Americanas e Híbridas,colecoes,,,,0
tintas_concord,1972,2262221,Uvas Americanas e Híbridas,concord,,concord,,0
tintas_concordclone30,1972,0,Uvas Americanas e Híbridas,concordclone30,,concordclone30,,0
tintas_couderc,1972,2550812,Uvas Americanas e Híbridas,couderc,,,,0
tintas_cynthiana_1,1972,535172,Uvas Americanas e Híbridas,cynthiana,,,,0
tintas_herbemont,1972,45765536,Uvas Americanas e Híbridas,herbemont,,herbemont,,0
tintas_iac138022,1972,0,Uvas Americanas e Híbridas,iac138022,,iac138022,,0
tintas_isabel,1972,120365492,Uvas Americanas e Híbridas,isabel,,isabel,,0
tintas_isabelprecoce,1972,0,Uvas Americanas e Híbridas,isabelprecoce,,isabelprecoce,,0
tintas_jacquez,1972,278191,Uvas Americanas e Híbridas,jacquez,,,,0
tintas_kyoko,1972,0,Uvas Americanas e Híbridas,kyoko,,,,0
tintas_laot,1972,63740,Uvas Americanas e Híbridas,laot,,,,0
tintas_mistura_de_uvas_americanas_tinto,1972,0,Uvas Americanas e Híbridas,mistura,mistura_americanas_tinto,,,0
tintas_oberlin,1972,11136,Uvas Americanas e Híbridas,oberlin,,,,0
tintas_othello,1972,34525,Uvas Americanas e Híbridas,othello,,,,0
tintas_paco,1972,0,Uvas Americanas e Híbridas,paco,,,,0
tintas_patricia,1972,0,Uvas Americanas e Híbridas,patricia,,,,0
tintas_seibel,1972,8786979,Uvas Americanas e Híbridas,seibel,,,,0
tintas_seibel2_seibeleto,1972,0,Uvas Americanas e Híbridas,seibel2,,,,0
tintas_seyvewillard_tinta,1972,0,Uvas Americanas e Híbridas,seyvewillard,,,,0
tintas_vênus,1972,0,Uvas Americanas e Híbridas,vênus,,,,0
brancas_rosadas,1972,898576,Uvas Americanas e Híbridas,rosadas,,,,1
brancas_rosadas_baco,1972,5084,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_bokay,1972,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_brs_bibiana,1972,0,Uvas Americanas e Híbridas,rosadas,,brs,,0
brancas_rosadas_brsem_classificacaolara,1972,0,Uvas Americanas e Híbridas,rosadas,,brsem,,0
brancas_rosadas_brslorena,1972,0,Uvas Americanas e Híbridas,rosadas,,brslorena,,0
brancas_rosadas_couderc13,1972,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_delaware,1972,7517,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_donazilla,1972,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_dutchess,1972,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_goethe,1972,472553,Uvas Americanas e Híbridas,rosadas,,goethe,,0
brancas_rosadas_iac,1972,0,Uvas Americanas e Híbridas,rosadas,,iac,,0
