control,ano,kilogram,categoria,subcategoria,tipo_estilo,origem,classificacao,total
brancas_rosadas_golden_queen,1977,2391.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,1977,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,1977,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,1977,227941.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,1977,0.0,brancas_rosadas,rosadas,,,,0
tintas,1978,107994.0,tintas,,,,,1
tintas_alphonse_lavallee,1978,17339.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,1978,90655.0,tintas,mosem,,,,0
brancas,1978,244151.0,brancas,,,,,1
brancas_rosadas_cardinal,1978,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,1978,8715.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,1978,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,1978,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,1978,235436.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,1978,0.0,brancas_rosadas,rosadas,,,,0
tintas,1979,160889.0,tintas,,,,,1
tintas_alphonse_lavallee,1979,88822.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,1979,72067.0,tintas,mosem,,,,0
brancas,1979,148002.0,brancas,,,,,1
brancas_rosadas_cardinal,1979,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,1979,2051.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,1979,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,1979,11377.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,1979,134574.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,1979,0.0,brancas_rosadas,rosadas,,,,0
tintas,1980,68763.0,tintas,,,,,1
tintas_alphonse_lavallee,1980,23451.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,1980,45312.0,tintas,mosem,,,,0
brancas,1980,74744.0,brancas,,,,,1
brancas_rosadas_cardinal,1980,2235.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,1980,2765.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,1980,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,1980,10722.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,1980,59022.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,1980,0.0,brancas_rosadas,rosadas,,,,0
tintas,1981,55774.0,tintas,,,,,1
tintas_alphonse_lavallee,1981,12094.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,1981,43680.0,tintas,mosem,,,,0
