control,ano,kilogram,categoria,subcategoria,tipo_estilo,origem,classificacao,total
brancas_rosadas_malvasia_di_caia,1970,0,brancas_rosadas,rosadas,,malvasia,,0
brancas_rosadas_malvasia_istriana,1970,0,brancas_rosadas,rosadas,,malvasia,,0
brancas_rosadas_mistura_de_uvas_viniferas,1970,0,brancas_rosadas,rosadas,mistura_viniferas,,,0
brancas_rosadas_mistura_de_uvas_viniferas,1970,0,brancas_rosadas,rosadas,mistura_viniferas,,,0
brancas_rosadas_mosem_classificacaoato_branco,1970,5772931,brancas_rosadas,rosadas,branco,,,0
brancas_rosadas_mosem_classificacaoato_canelli,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_mosem_classificacaoato_giallo,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_mosem_classificacaoato_nazareno,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_mosem_classificacaoato_bianco_r2,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_mosem_classificacaoato_de_alexaria,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_mosem_classificacaoato_rosado,1970,0,brancas_rosadas,rosadas,rosado,,,0
brancas_rosadas_musem_classificacaoat_a_petits_grains,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_muller_thurgau,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_musem_classificacaoadelle,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_ora,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_palomino,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_petit_manseng,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_peverella,1970,2084128,brancas_rosadas,rosadas,,,,0
brancas_rosadas_pinot_blanc,1970,4000,brancas_rosadas,rosadas,,,,0
brancas_rosadas_pinot_gris,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_prosecco,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_red_veltliner,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_riesling_italico,1970,413149,brancas_rosadas,rosadas,,,,0
brancas_rosadas_riesling_renano,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_sauvignon_blanc_2,1970,2819,brancas_rosadas,rosadas,,,,0
brancas_rosadas_sauvignon_gris,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_seara_nova,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_semillon,1970,1916,brancas_rosadas,rosadas,,,,0
brancas_rosadas_sem_classificacaohonburger,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_sylvaner,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_tocai_friulano,1970,0,brancas_rosadas,rosadas,,,,0
