control,ano,kilogram,categoria,subcategoria,tipo_estilo,origem,classificacao,total
tintas_patricia,1971,0,tintas,patricia,,,,0
tintas_seibel,1971,8309720,tintas,seibel,,,,0
tintas_seibel2_seibeleto,1971,0,tintas,seibel2,,,,0
tintas_seyvewillard_tinta,1971,0,tintas,seyvewillard,,,,0
tintas_vênus,1971,0,tintas,vênus,,,,0
brancas_rosadas,1971,557294,brancas_rosadas,rosadas,,,,1
brancas_rosadas_baco,1971,5873,brancas_rosadas,rosadas,,,,0
brancas_rosadas_bokay,1971,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_brs_bibiana,1971,0,brancas_rosadas,rosadas,,brs,,0
brancas_rosadas_brsem_classificacaolara,1971,0,brancas_rosadas,rosadas,,brsem,,0
brancas_rosadas_brslorena,1971,0,brancas_rosadas,rosadas,,brslorena,,0
brancas_rosadas_couderc13,1971,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_delaware,1971,22883,brancas_rosadas,rosadas,,,,0
brancas_rosadas_donazilla,1971,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_dutchess,1971,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_goethe,1971,267549,brancas_rosadas,rosadas,,goethe,,0
brancas_rosadas_iac,1971,0,brancas_rosadas,rosadas,,iac,,0
brancas_rosadas_juliana,1971,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_martha,1971,21972,brancas_rosadas,rosadas,,,,0
brancas_rosadas_mistura_de_uvas_americanas,1971,0,brancas_rosadas,rosadas,mistura_americanas,,,0
brancas_rosadas_mosem_classificacaoatoembrapa,1971,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_niagara,1971,239017,brancas_rosadas,rosadas,,niagara,,0
brancas_rosadas_niagarabranca,1971,0,brancas_rosadas,rosadas,,niagarabranca,,0
brancas_rosadas_niagararosada,1971,0,brancas_rosadas,rosadas,,niagararosada,,0
brancas_rosadas_poloske,1971,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_selecoes,1971,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_seyvevillard,1971,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_seyvevillard5276,1971,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_seyvevillard12375,1971,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_tardiadecaxias,1971,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_outras,1971,0,brancas_rosadas,rosadas,,,,0
tintas,1972,187251954,tintas,,,,,1
tintas_bacarina,1972,67464,tintas,bacarina,,,,0
tintas_bailey,1972,0,tintas,bailey,,,,0
tintas_bordo,1972,6530686,tintas,bordo,,,,0
tintas_bourdin_s,1972,0,tintas,bourdin,,,,0
tintas_brsem_classificacaoarmen,1972,0,tintas,brsem,,brsem,,0
tintas_brsem_classificacaoora,1972,0,tintas,brsem,,brsem,,0
tintas_brs_magna,1972,0,tintas,brs,,brs,,0
tintas_brs_margot,1972,0,tintas,brs,,brs,,0
tintas_brsmorena,1972,0,tintas,brsmorena,,brsmorena,,0
tintas_brs_nubia,1972,0,tintas,brs,,brs,,0
tintas_brs_rubea,1972,0,tintas,brs,,brs,,0
tintas_brsvioleta,1972,0,tintas,brsvioleta,,brsvioleta,,0
tintas_brs_vitoria,1972,0,tintas,brs,,brs,,0
tintas_champagnon_champanheta,1972,0,tintas,champagnon,,champagnon,,0
tintas_colecoes,1972,0,tintas,colecoes,,,,0
tintas_concord,1972,2262221,tintas,concord,,concord,,0
tintas_concordclone30,1972,0,tintas,concordclone30,,concordclone30,,0
tintas_couderc,1972,2550812,tintas,couderc,,,,0
tintas_cynthiana_1,1972,535172,tintas,cynthiana,,,,0
tintas_herbemont,1972,45765536,tintas,herbemont,,herbemont,,0
tintas_iac138022,1972,0,tintas,iac138022,,iac138022,,0
tintas_isabel,1972,120365492,tintas,isabel,,isabel,,0
tintas_isabelprecoce,1972,0,tintas,isabelprecoce,,isabelprecoce,,0
tintas_jacquez,1972,278191,tintas,jacquez,,,,0
tintas_kyoko,1972,0,tintas,kyoko,,,,0
tintas_laot,1972,63740,tintas,laot,,,,0
tintas_mistura_de_uvas_americanas_tinto,1972,0,tintas,mistura,mistura_americanas_tinto,,,0
tintas_oberlin,1972,11136,tintas,oberlin,,,,0
tintas_othello,1972,34525,tintas,othello,,,,0
tintas_paco,1972,0,tintas,paco,,,,0
tintas_patricia,1972,0,tintas,patricia,,,,0
tintas_seibel,1972,8786979,tintas,seibel,,,,0
tintas_seibel2_seibeleto,1972,0,tintas,seibel2,,,,0
tintas_seyvewillard_tinta,1972,0,tintas,seyvewillard,,,,0
tintas_vênus,1972,0,tintas,vênus,,,,0
brancas_rosadas,1972,898576,brancas_rosadas,rosadas,,,,1
brancas_rosadas_baco,1972,5084,brancas_rosadas,rosadas,,,,0
brancas_rosadas_bokay,1972,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_brs_bibiana,1972,0,brancas_rosadas,rosadas,,brs,,0
brancas_rosadas_brsem_classificacaolara,1972,0,brancas_rosadas,rosadas,,brsem,,0
brancas_rosadas_brslorena,1972,0,brancas_rosadas,rosadas,,brslorena,,0
brancas_rosadas_couderc13,1972,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_delaware,1972,7517,brancas_rosadas,rosadas,,,,0
brancas_rosadas_donazilla,1972,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_dutchess,1972,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_goethe,1972,472553,brancas_rosadas,rosadas,,goethe,,0
brancas_rosadas_iac,1972,0,brancas_rosadas,rosadas,,iac,,0
brancas_rosadas_juliana,1972,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_martha,1972,14716,brancas_rosadas,rosadas,,,,0
brancas_rosadas_mistura_de_uvas_americanas,1972,0,brancas_rosadas,rosadas,mistura_americanas,,,0
brancas_rosadas_mosem_classificacaoatoembrapa,1972,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_niagara,1972,253262,brancas_rosadas,rosadas,,niagara,,0
brancas_rosadas_niagarabranca,1972,0,brancas_rosadas,rosadas,,niagarabranca,,0
brancas_rosadas_niagararosada,1972,0,brancas_rosadas,rosadas,,niagararosada,,0
brancas_rosadas_poloske,1972,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_selecoes,1972,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_seyvevillard,1972,145444,brancas_rosadas,rosadas,,,,0
brancas_rosadas_seyvevillard5276,1972,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_seyvevillard12375,1972,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_tardiadecaxias,1972,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_outras,1972,0,brancas_rosadas,rosadas,,,,0
tintas,1973,161593877,tintas,,,,,1
tintas_bacarina,1973,58690,tintas,bacarina,,,,0
tintas_bailey,1973,0,tintas,bailey,,,,0
tintas_bordo,1973,5584243,tintas,bordo,,,,0
tintas_bourdin_s,1973,0,tintas,bourdin,,,,0
tintas_brsem_classificacaoarmen,1973,0,tintas,brsem,,brsem,,0
tintas_brsem_classificacaoora,1973,0,tintas,brsem,,brsem,,0
tintas_brs_magna,1973,0,tintas,brs,,brs,,0
tintas_brs_margot,1973,0,tintas,brs,,brs,,0
tintas_brsmorena,1973,0,tintas,brsmorena,,brsmorena,,0
tintas_brs_nubia,1973,0,tintas,brs,,brs,,0
tintas_brs_rubea,1973,0,tintas,brs,,brs,,0
tintas_brsvioleta,1973,0,tintas,brsvioleta,,brsvioleta,,0
tintas_brs_vitoria,1973,0,tintas,brs,,brs,,0
tintas_champagnon_champanheta,1973,0,tintas,champagnon,,champagnon,,0
tintas_colecoes,1973,0,tintas,colecoes,,,,0
tintas_concord,1973,1850704,tintas,concord,,concord,,0
tintas_concordclone30,1973,0,tintas,concordclone30,,concordclone30,,0
tintas_couderc,1973,2602220,tintas,couderc,,,,0
tintas_cynthiana_1,1973,360571,tintas,cynthiana,,,,0
tintas_herbemont,1973,33214347,tintas,herbemont,,herbemont,,0
tintas_iac138022,1973,0,tintas,iac138022,,iac138022,,0
tintas_isabel,1973,109787700,tintas,isabel,,isabel,,0
tintas_isabelprecoce,1973,0,tintas,isabelprecoce,,isabelprecoce,,0
tintas_jacquez,1973,302686,tintas,jacquez,,,,0
tintas_kyoko,1973,0,tintas,kyoko,,,,0
tintas_laot,1973,80995,tintas,laot,,,,0
tintas_mistura_de_uvas_americanas_tinto,1973,0,tintas,mistura,mistura_americanas_tinto,,,0
tintas_oberlin,1973,9483,tintas,oberlin,,,,0
tintas_othello,1973,17358,tintas,othello,,,,0
tintas_paco,1973,0,tintas,paco,,,,0
tintas_patricia,1973,0,tintas,patricia,,,,0
tintas_seibel,1973,7724880,tintas,seibel,,,,0
tintas_seibel2_seibeleto,1973,0,tintas,seibel2,,,,0
tintas_seyvewillard_tinta,1973,0,tintas,seyvewillard,,,,0
tintas_vênus,1973,0,tintas,vênus,,,,0
brancas_rosadas,1973,231984,brancas_rosadas,rosadas,,,,1
brancas_rosadas_baco,1973,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_bokay,1973,0,brancas_rosadas,rosadas,,,,0
